工,aaaa
漫,ijlc
溻,ijng
湿,ijog
渴,ijqn
滥,ijtl
混,ijxx
灏,ijym
澡,ikks
涓,ikeg
溃,ikhm
潞,ikhk
浞,ikhy
渑,ikjn
漶,ikkn
涡,ikmw
渐,ilrh
涸,ildg
洇,ildy
渭,ileg
溷,iley
涠,ilfh
泗,ilg
淠,ilgj
洄,ilkg
涟,ilpy
泅,ilwy
漯,ilxi
没,imcy
澧,imau
湍,imdj
泱,imdy
滑,imeg
油,img
洞,imgk
溅,imgt
汕,imh
测,imjh
沿,imkg
尚,imkf
氅,imkn
敞,imkt
涔,imwn
沁,iny
泯,inan
澉,inbt
潺,inbb
汛,infh
漏,infy
渥,ingf
湄,inhg
涮,inmj
汜,inn
汤,inrt
烫,inro
泌,intt
泼,inty
濯,inwy
泥,inxn
淡,iooy
瀵,iolw
学,ipbf
黉,ipaw
浓,ipey
尝,ipfc
淙,ipfi
浣,ipfq
演,ipgw
泻,ipgg
渲,ipgg
淀,ipgh
泶,ipiu
渖,ipjh
溟,ipju
党,ipkq
裳,ipke
堂,ipkf
常,ipkh
赏,ipkm
掌,ipkr
棠,ipks
浑,iplh
沉,ipmn
觉,ipmq
涫,ipnn
沈,ipqn
鲎,ipqg
滨,iprw
泞,ipsh
喾,iptk
滓,ipuh
深,ipws
溶,ipwk
沱,ipxn
光,iqb
汹,iqbh
沟,iqcy
淆,iqde
浠,iqdh
澹,iqdy
鼗,iqfc
淦,iqg
渔,iqgg
泺,iqiy
洵,iqjg
浼,iqkq
涣,iqmd
泡,iqnn
耀,iqny
逃,iqpv
辉,iqpl
淘,iqrm
泖,iqtb
潴,iqtj
漪,iqtk
兆,iqv
汐,iqy
溜,iqyl
泊,irg
湃,irdf
派,irey
湟,irgg
浜,irgw
沂,irh
洙,iriy
汽,irnn
浙,irrh
激,iryt
洒,isg
漂,isfi
湮,isfg
酒,isgg
汀,ish
湘,ishg
潭,isjh
渣,isjg
河,iskg
淅,isrh
淋,issy
潸,isse
漤,issv
溧,issy
漆,iswi
淞,iswc
沐,isy
沭,isyy
少,itr
洚,itah
沲,itbn
活,itdg
鋈,itdq
沃,itdy
洗,itfq
浩,itfk
省,ithf
溴,ithd
洎,ithg
濞,ithj
涎,ithp
潲,itie
洛,itkg
劣,itlb
洫,itlg
澳,itmd
汔,itnn
渊,itoh
潘,itol
湫,itoy
泛,itpy
涤,itsy
滗,ittn
海,itxu
洋,iudh
溯,iube
滚,iuce
湔,iuej
泮,iufh
泣,iug
润,iugg
澜,iugi
漾,iugi
漳,iujh
潼,iujf
涧,iujg
涪,iukg
滴,iumd
滂,iupy
溢,iuwl
滋,iuxx
涕,iuxt
当,ivf
溉,ivcq
津,ivfh
浔,ivfy
汝,ivg
溲,ivhc
渌,iviy
沼,ivkg
洳,ivkg
淄,ivlg
浸,ivpc
染,ivsu
梁,ivws
粱,ivwo
涩,ivyh
兴,iwu
沧,iwbn
脊,iwef
举,iwfh
浍,iwfc
洽,iwgk
瀹,iwga
渝,iwgj
潋,iwgt
澄,iwgu
濮,iwoy
滏,iwqu
涂,iwty
溆,iwtc
汾,iwvn
湓,iwvl
浴,iwwk
沦,iwxn
淮,iwyg
泠,iwyc
誉,iwyf
雀,iwyf
涨,ixty
泓,ixcy
沸,ixjh
溺,ixuu
潍,ixwy
注,iygg
渡,iyac
淳,iybg
漓,iybc
流,iycq
鎏,iycq
澈,iyct
汴,iyhy
济,iyjh
浏,iyjh
沩,iyly
澶,iylg
沆,iymn
沪,iynt
泳,iyni
漉,iynx
瀛,iyny
湾,iyox
滦,iyos
濠,iype
洲,iyth
游,iytb
浒,iytf
漩,iyth
濂,iyuo
浪,iyve
溏,iyvk
液,iywy
淬,iywf
淤,iywu
泫,iyxy
汶,iyy
氵,iyyg
是,jghu
虹,jag
蜞,jadw
蟒,jada
蚶,jafg
螨,jagw
蚜,jaht
蜡,jajg
蟆,jajd
蜮,jakg
蠛,jalt
蟥,jamw
蝶,jans
蠓,jape
蝾,japs
晓,jatq
蛲,jatq
暴,jawi
蠖,jawc
最,jbcu
蜢,jblg
紧,jcxi
肾,jcef
蛹,jceh
坚,jcff
蛏,jcfg
蚂,jcg
贤,jcmu
蛑,jcrh
竖,jcuf
晨,jdfe
蛎,jddn
蝴,jdeg
蝰,jdff
蛄,jdg
蚌,jdhh
晟,jdnt
螈,jdri
昃,jdwu
蝽,jdwj
螓,jdwt
明,jeg
蜉,jebg
暖,jefc
蛆,jegg
盟,jelf
暧,jepc
时,jfy
野,jfcb
墅,jfcf
昙,jfcu
里,jfd
蠕,jfdj
蛙,jffg
旰,jfh
昧,jfiy
旱,jfj
蟛,jfke
蝻,jfmf
暑,jftj
蚨,jfwy
量,jgjf
蛭,jgcf
昊,jgdu
晴,jgeg
蜻,jgeg
晡,jgey
旦,jgf
旺,jgg
韪,jghh
题,jghm
匙,jghx
虾,jghy
蟪,jgjn
晤,jgkg
蝠,jgkl
师,jgmh
螬,jgmj
蛱,jguw
早,jhnh
冒,jhf
刂,jhh
蠼,jhhc
申,jhk
勖,jhln
曰,jhng
畅,jhnr
虫,jhny
晃,jiqb
蛸,jieg
螳,jipf
晁,jiqb
昌,jjf
曝,jjai
蛳,jjgh
晶,jjjf
日,jjjj
蝎,jjqn
蜴,jjqr
蜾,jjsy
蝇,jkjn
蜈,jkgd
蜗,jkmw
曙,jlfj
曼,jlcu
蛊,jlf
蝈,jlgy
蛔,jlkg
螺,jlxi
遇,jmhp
蛐,jmag
映,jmdy
蚺,jmfg
蜩,jmfk
蚰,jmg
帅,jmhh
愚,jmhn
禺,jmhy
虮,jmn
蚬,jmqn
蚋,jmwy
电,jnv
暇,jnhc
虬,jnn
遢,jnpd
曜,jnwy
昵,jnxn
显,jogf
炅,jou
蝼,jovg
晕,jplj
暄,jpgg
螟,jpju
暝,jpju
晖,jplh
蜿,jpqb
晏,jpvf
蛇,jpxn
晚,jqkq
昂,jqbj
蟾,jqdy
蟓,jqje
煦,jqko
冕,jqkq
易,jqrr
剔,jqrj
昴,jqtb
昀,jqug
歇,jqww
曷,jqwn
遏,jqwp
蝗,jrgg
蚯,jrgg
昕,jrh
蛛,jriy
蜱,jrtf
果,jsi
颗,jsdm
螵,jsfi
晒,jsg
蚵,jskg
夥,jsqq
晰,jsrh
蜥,jsrh
杲,jsu
昨,jthf
蜂,jtdh
蛞,jtdg
蜘,jtdk
蚝,jtfn
蜓,jtfp
星,jtgf
戥,jtga
曛,jtgo
蚱,jthf
晷,jthk
螅,jthn
蜒,jthp
蜊,jtjh
蝮,jtjt
晌,jtmk
虼,jtnn
蟋,jton
蟠,jtol
蛾,jtrt
蝌,jtuf
晦,jtxu
临,jtyj
监,jtyl
鉴,jtyq
览,jtyq
暗,jujg
蛘,judh
蜷,judb
蟮,judk
蜣,judn
昱,juf
蚪,jufh
曦,jugt
蝉,jujf
蟑,jujh
蜕,jukq
螃,jupy
蛟,juqy
蝤,jusg
归,jvg
旯,jvb
螋,jvhc
昭,jvkg
照,jvko
蛤,jwgk
蚣,jwcy
暌,jwgd
蝓,jwgj
蚧,jwjh
蜍,jwty
晔,jwxf
暹,jwyp
蛉,jwyc
晗,jwyk
昆,jxxb
曳,jxe
蚓,jxhh
蚴,jxln
蚍,jxxn
景,jyiu
暾,jybt
螭,jybc
蛀,jygg
影,jyie
颢,jyim
晾,jyiy
蛴,jyjh
曩,jyke
虻,jynn
蝙,jyna
蚁,jyqy
旷,jyt
蝣,jytb
蠊,jyuo
螂,jyvb
螗,jyvk
蟀,jyxf
蚊,jyy
中,khk
呀,kaht
嘶,kadr
喏,kadk
嘞,kafl
哐,kagg
噶,kajn
喵,kalg
咂,kamh
呓,kann
喋,kans
唠,kapl
哎,kaqy
呕,kaqy
哓,katq
哄,kawy
嗒,kawk
嗬,kawk
嚆,kayk
啊,kbsk
嗫,kbcc
叩,kbh
嗤,kbhj
咄,kbmh
吼,kbnn
戢,kbnt
吧,kcn
邑,kcb
嗓,kccs
啜,kccc
嗵,kcep
吗,kcg
吮,kcqn
哞,kcrh
唉,kctd
唆,kcwt
叹,kcy
顺,kdmy
呃,kdbn
喹,kdff
咕,kdg
喊,kdgt
嘎,kdha
嗄,kdht
嘁,kdht
啡,kdjd
喱,kdjf
呖,kdln
咴,kdoy
哒,kdpy
噘,kduw
嘹,kdui
唪,kdwh
嗪,kdwt
咙,kdxn
吠,kdy
呔,kdyy
吸,keyy
咀,kegg
嚼,kelf
嗳,kepc
鹃,keqg
啄,keyy
叶,kfh
喷,kfam
吱,kfcy
嗑,kfcl
嚅,kfdj
哇,kffg
吐,kfg
嗔,kfhw
味,kfiy
嘲,kfje
嘻,kfkk
嘭,kfke
咭,kfkg
鄙,kflb
喃,kfmf
哧,kfoy
噎,kfpu
嚏,kfph
嗦,kfpi
呒,kfqn
哮,kftb
嘟,kftb
嗜,kftj
呋,kfwy
嚯,kfwy
呈,kgf
吨,kgbn
郢,kgbh
吴,kgdu
哺,kgey
吁,kgfh
吓,kghy
呸,kgig
哽,kgjq
喇,kgkj
囔,kgke
唔,kgkg
嗝,kgkh
嗽,kgkw
啧,kgmy
嘈,kgmj
号,kgnb
饕,kgne
哑,kgog
逞,kgpd
咧,kgqj
嗷,kgqt
唛,kgty
咦,kgxw
嗉,kgxi
距,khan
噱,khae
嘘,khag
躇,khaj
唬,kham
跷,khaq
蹀,khas
蹒,khaw
躏,khay
蹑,khbc
踊,khce
跆,khck
蹂,khcs
跨,khdn
跋,khdc
踌,khdf
蹰,khdf
跖,khdg
蹶,khdw
啃,kheg
蹊,khed
踩,khes
蹈,khev
趿,khey
趺,khfw
跬,khff
践,khgt
趼,khga
贵,khgm
遗,khgp
遣,khgp
趾,khhg
跛,khhc
踔,khhj
咔,khhy
跳,khiq
踏,khij
踢,khjr
蹋,khjn
踝,khjs
躁,khks
盅,khlf
躅,khlj
跏,khlk
跺,khms
蹦,khme
跚,khmg
踹,khmj
忠,khnu
踞,khnd
跽,khnn
蹼,khoy
躞,khoc
踪,khpi
蹿,khph
跎,khpx
跑,khqn
跪,khqb
跞,khqi
趵,khqy
跌,khrw
踬,khrm
路,khtk
跃,khtd
踵,khtf
鹭,khtg
踟,khtk
蹯,khtl
躜,khtm
跹,khtp
跣,khtq
踽,khty
足,khu
蹉,khua
踯,khub
蹲,khuf
蹄,khuh
蹭,khuj
踣,khuk
跤,khuq
跟,khve
躐,khvn
踺,khvp
趴,khwy
啮,khwb
跄,khwb
跗,khwf
蹬,khwu
嘴,khxe
跸,khxf
呲,khxn
卟,khy
蹁,khya
踱,khyc
踉,khye
躔,khyf
跻,khyj
踮,khyk
蹴,khyn
吵,kitt
哨,kieg
啵,kihc
唢,kimy
咣,kiqn
嗨,kitu
虽,kju
嘬,kjbc
哩,kjfg
呻,kjhh
唱,kjjg
喁,kjmy
黾,kjnb
喝,kjqn
吕,kkf
骂,kkcf
器,kkdk
嚣,kkdk
哭,kkdu
鄂,kkfb
鹗,kkfg
颚,kkfm
串,kkhk
患,kkhn
品,kkkf
口,kkkk
噪,kkks
鼍,kkln
咒,kkmb
另,klb
咽,kldy
嗯,kldn
喟,kleg
嘿,klfo
啭,klfy
喂,klge
呷,klh
别,kljh
咖,klkg
叻,kln
员,kmu
嗣,kmak
郧,kmbh
喘,kmdj
嘣,kmee
啁,kmfk
吊,kmhj
勋,kmln
嘤,kmmv
叽,kmn
哕,kmqy
哚,kmsy
呐,kmwy
剐,kmwj
呙,kmwu
呗,kmy
叫,knhh
叼,kngg
喔,kngf
噼,knku
唰,knmj
嘱,knty
呢,knxn
吣,kny
噗,kogy
啖,kooy
喽,kovg
咪,koy
喧,kpgg
哝,kpey
噻,kpff
啶,kpgh
嘧,kpnm
咛,kpsh
喀,kptk
咤,kpta
嚓,kpwi
史,kqi
兄,kqb
唏,kqdh
噜,kqgj
唤,kqmd
咆,kqnn
呜,kqng
哆,kqqy
吻,kqrt
啕,kqrm
唿,kqrn
吹,kqwy
鸣,kqyg
听,krh
唣,kran
呱,krcy
嗥,krdf
哌,krey
啪,krrg
哳,krrh
啤,krtf
啦,krug
呆,ksu
嘌,ksfi
哂,ksg
叮,ksh
喳,ksjg
呵,kskg
啉,kssy
噤,kssi
呼,ktuh
噬,ktaw
吒,ktan
唾,ktgf
咱,kthg
嗅,kthd
咋,kthf
川,kthh
咯,ktkg
响,ktmk
噢,ktmd
吃,ktnn
啾,ktoy
哦,ktrt
咚,ktuy
啼,kuph
嗍,kube
咩,kudh
嗟,kuda
吖,kuhh
喑,kujg
噫,kujn
噌,kulj
嘀,kumd
咬,kuqy
唼,kuvg
嗌,kuwl
哪,kvfb
呶,kvcy
唧,kvcb
哏,kvey
嗖,kvhc
啸,kvij
叨,kvn
只,kwu
呛,kwbn
嗡,kwcn
咐,kwfy
哙,kwfc
啥,kwfk
哈,kwgk
喻,kwgj
噔,kwgu
喉,kwnd
嗲,kwqq
咻,kwsy
吩,kwvn
咿,kwvt
唑,kwwf
哗,kwxf
叭,kwy
噙,kwyc
呤,kwyc
唯,kwyg
吟,kwyn
噍,kwyo
哟,kxqy
喙,kxey
吲,kxhh
呦,kxln
叱,kxn
吡,kxxn
哔,kxxf
咝,kxxg
喈,kxxr
吆,kxy
嘛,kyss
哼,kybh
唷,kyce
唁,kyg
哜,kyjh
嚷,kyke
吭,kymn
咏,kyni
唳,kynd
咳,kynw
嚎,kype
嗾,kytd
啷,kyvb
啐,kywf
国,lgyi
轼,laag
羁,lafc
囝,lbd
辄,lbnn
轻,lcag
轰,lccu
辍,lccc
因,ldi
轭,ldbn
固,ldd
囿,lded
罟,ldf
轱,ldg
罪,ldjd
罨,ldjn
恩,ldnu
畸,ldsk
畴,ldtf
辏,ldwd
畎,ldy
胃,lef
轩,lfh
罢,lfcu
罴,lfco
畦,lffg
置,lfhf
辕,lfke
罱,lfmf
转,lfny
围,lfnh
黑,lfou
默,lfod
黩,lfod
黪,lfoe
墨,lfof
黥,lfoi
黯,lfoj
黠,lfok
黝,lfol
黜,lfom
黔,lfon
黟,lfoq
黢,lfot
园,lfqv
团,lfte
署,lftj
圉,lfuf
车,lgnh
囤,lgbn
轾,lgcf
畏,lgeu
圊,lged
辅,lgey
圃,lgey
罡,lghf
罘,lgiu
畀,lgjj
辐,lgkl
圄,lgkd
辆,lgmw
四,lhng
罩,lhjj
皿,lhng
囗,lhng
甲,lhnh
轳,lhnt
辊,ljxx
加,lkg
辑,lkbg
驾,lkcf
回,lkd
贺,lkmu
圆,lkmi
迦,lkpd
架,lksu
哿,lksk
轵,lkwy
袈,lkye
男,llb
圜,llge
田,llll
勰,llln
嬲,llvl
轴,lmg
辋,lmun
思,lnu
辗,lnae
轧,lnn
罹,lnwy
辚,loqh
边,lpv
辖,lpdk
连,lpk
畹,lpqb
罗,lqu
轹,lqiy
蜀,lqju
逻,lqpi
囫,lqre
软,lqwy
鸭,lqyg
斩,lrh
畈,lrcy
堑,lrff
暂,lrjf
錾,lrqf
椠,lrsu
轶,lrwy
困,lsi
町,lsh
轲,lskg
力,ltn
轿,ltdj
略,ltkg
辂,ltkg
图,ltui
轷,ltuh
畋,lty
较,luqy
圈,ludb
畔,lufh
疃,lujf
罾,lulj
轨,lvn
囡,lvd
轺,lvkg
辎,lvlg
轫,lvyy
办,lwi
轸,lwet
畛,lwet
输,lwgj
辁,lwgg
囚,lwi
界,lwjj
轮,lwxn
囵,lwxv
囹,lwyc
累,lxiu
毗,lxxn
罚,lyjj
辙,lyct
詈,lyf
辘,lynx
同,mgkd
曲,mad
贼,madt
嵌,mafw
岈,maht
岽,maiu
崂,mapl
嵘,maps
岖,maqy
典,mawu
邮,mbh
凤,mci
岜,mcb
峄,mcfh
贻,mckg
殳,mcu
峻,mcwt
央,mdi
贿,mdeg
岩,mdf
赈,mdfe
崖,mdff
岸,mdfj
岵,mdg
崴,mdgt
崦,mdjn
盎,mdlf
遄,mdmp
颛,mdmm
炭,mdou
鸯,mdqg
崎,mdsk
骨,mef
髓,medp
骷,medg
崩,meef
胄,mef
髁,mejs
髑,melj
骰,memc
髅,meov
髂,mepk
髋,mepq
髌,mepw
鹘,meqg
骶,meqy
骺,merk
髀,merf
骼,metk
骱,mewj
骸,meyw
岌,meyu
财,mftt
岐,mfcy
冉,mfd
峙,mffy
巅,mfhm
赇,mfiy
周,mfkd
雕,mfky
赎,mfnd
赌,mftj
赋,mgah
岍,mgah
赙,mgef
屿,mgng
崃,mgoy
夙,mgqi
贱,mgt
峡,mguw
由,mhng
帱,mhdf
帏,mhfh
幅,mhgl
帻,mhgm
帖,mhhk
帔,mhhc
帧,mhhm
帽,mhjh
幔,mhjc
幌,mhjq
巾,mhk
贴,mhkg
帜,mhkw
帼,mhly
帆,mhmy
冂,mhn
幄,mhnf
贝,mhny
幞,mhoy
帕,mhrg
帙,mhrw
帐,mhty
幡,mhtl
幢,mhuf
幛,mhuj
帷,mhwy
峭,mieg
嵴,miwe
则,mjh
赐,mjqr
岿,mjvf
迥,mkpd
贶,mkqn
崭,mlrj
崮,mldf
岬,mlh
崽,mlnu
册,mmgd
岫,mmg
凹,mmgd
删,mmgj
峒,mmgk
兕,mmgq
山,mmmm
岗,mmqu
岘,mmqn
岚,mmqu
罂,mmrm
婴,mmvf
鹦,mmvg
岂,mnb
岷,mnan
崛,mnbm
嵋,mnhg
剀,mnjh
凯,mnmn
觊,mnmq
屺,mnn
赆,mnyu
赕,mooy
嶙,moqh
嵝,movg
迪,mpd
崇,mpfi
贮,mpgg
崆,mpwa
风,mqi
见,mqb
购,mqcy
赡,mqdy
崤,mqde
飓,mqhw
冈,mqi
刚,mqjh
峋,mqjg
刿,mqjh
岣,mqkg
飚,mqoo
网,mqqi
飑,mqqn
峁,mqtb
岁,mqu
峥,mqvh
飕,mqvc
贩,mrcy
凰,mrgd
嵬,mrqc
朵,msu
剁,msjh
岢,mskf
崾,msvg
崧,mswc
几,mtn
账,mtay
峰,mtdh
峤,mtdj
赂,mtkg
屹,mtnn
贬,mtpy
峨,mtrt
嵊,mtux
巍,mtvc
败,mty
赠,mulj
嵯,muda
嶂,mujh
赔,mukg
赚,muvo
嵫,muxx
罔,muyn
内,mwi
赊,mwfi
嵛,mwgj
嶝,mwgu
肉,mwwi
峪,mwwk
崔,mwyf
岭,mwyc
岑,mwyn
嶷,mxth
凡,myi
崞,mybg
丹,myd
彤,myet
赃,myfg
嵩,mymk
赅,mynw
民,nav
展,naei
惬,nagw
异,naj
羿,naj
惜,najg
懵,nalh
屉,nanv
怄,naqy
懂,natf
愍,natn
殿,nawc
臀,nawe
慌,nayq
敢,nbty
孱,nbbb
慑,nbcc
屈,nbmk
屙,nbsk
憨,nbtn
怪,ncfg
惨,ncde
怿,ncfh
怡,nckg
悛,ncwt
居,ndd
惰,ndae
恹,nddy
怙,ndg
憾,ndgn
剧,ndjh
悱,ndjd
怖,ndmh
忧,ndnn
恢,ndoy
导,nfu
愤,nfam
层,nfci
恸,nfcl
怯,nfcy
忮,nfcy
丑,nfd
懦,nfdj
恃,nffy
慎,nfhw
慰,nfin
尉,nfif
熨,nfio
迅,nfpk
悖,nfpb
怃,nfqn
屠,nftj
悻,nfuf
忖,nfy
怀,ngiy
屋,ngcf
刁,ngd
情,ngeg
怔,nghg
恒,ngjg
司,ngkd
悟,ngkg
悚,ngki
懒,ngkm
怦,nguh
愫,ngxi
收,nhty
眉,nhd
戕,nhda
奘,nhdd
爿,nhde
胥,nhef
遐,nhfp
疋,nhi
蛋,nhju
悼,nhjh
鹛,nhqg
惧,nhwy
疏,nhyq
悄,nieg
屑,nied
尿,nii
惝,nimk
恍,niqn
犀,nirh
慢,njlc
悭,njcf
悍,njfh
悝,njfg
怛,njgg
愠,njlg
惕,njqr
惺,njtg
憬,njyi
避,nkup
悒,nkcn
忡,nkhh
愦,nkhm
愕,nkkn
辟,nkuh
臂,nkue
襞,nkue
壁,nkuf
甓,nkun
鐾,nkuq
擘,nkur
檗,nkus
劈,nkuv
嬖,nkuv
譬,nkuy
璧,nkuy
惭,nlrh
翼,nlaw
悃,nlsy
愣,nlyn
届,nmd
惴,nmdj
怏,nmdy
惆,nmfk
恫,nmgk
刷,nmhj
恻,nmjh
恺,nmnn
惘,nmun
忆,nnn
巽,nnaw
忸,nnfg
己,nngn
巳,nngn
尸,nngt
书,nnhy
局,nnkd
乙,nnll
已,nnnn
忌,nnu
乜,nnv
快,nnwy
怩,nnxn
羽,nnyg
屡,novd
屎,noi
忱,npqn
恽,nplh
惋,npqb
懈,nqeh
恂,nqjg
惚,nqrn
怕,nrg
惶,nrgg
忻,nrh
忾,nrnn
愧,nrqc
憷,nssh
怵,nsyy
必,nte
怅,ntay
悸,ntbg
发,ntcy
恬,ntdg
尾,ntfn
屐,ntfc
忏,ntfh
忤,ntfh
性,ntgg
怍,nthf
屣,nthh
虱,ntji
愎,ntjt
属,ntky
恪,ntkg
恤,ntlg
懊,ntmd
愀,ntoy
屦,ntov
履,nttt
悔,ntxu
改,nty
习,nud
屏,nuak
羼,nudd
买,nudu
翌,nuf
飞,nui
惮,nujf
憧,nujf
悦,nukq
憎,nulj
慊,nuvo
悌,nuxt
悯,nuyy
恨,nvey
慨,nvcq
怊,nvkg
忉,nvn
尻,nvv
愉,nwgj
怆,nwbn
忪,nwcy
戮,nwea
鹨,nweg
恰,nwgk
惟,nwyg
戳,nwya
怜,nwyc
翟,nwyf
憔,nwyo
尼,nxv
惯,nxfm
怫,nxjh
屁,nxxv
心,nyny
恼,nybh
惦,nyhk
忄,nyhy
忭,nyhy
尺,nyi
惊,nyiy
昼,nyjg
咫,nykw
懔,nyli
忙,nynn
迟,nypi
尽,nyuu
慷,nyvi
慵,nyvh
翠,nywf
悴,nywf
为,ylyi
煤,oafs
炬,oang
炼,oanw
烧,oatq
烘,oawy
粪,oawu
籽,obg
烃,ocag
糅,ocbs
糁,ocde
粑,ocn
类,odu
粝,oddn
糊,odeg
煳,odeg
炻,odg
烦,odmy
燎,odui
粗,oegg
爝,oelf
灶,ofg
糯,ofdj
炜,ofnh
烤,oftn
业,ogd
邺,ogbh
炖,ogbn
精,ogeg
粳,ogjq
焐,ogkg
炳,ogmw
糟,ogmj
凿,ogub
黻,oguc
黹,ogui
黼,oguy
粘,ohkg
焯,ohjh
炒,oitt
烛,ojy
爆,ojai
焊,ojfh
熳,ojlc
煜,ojug
炽,okwy
燥,okks
烟,oldy
煨,olge
灿,omh
籼,omh
炯,omkg
断,onrh
糈,onhe
熠,onrg
炀,onrt
炔,onwy
烬,onyu
炎,oou
郯,oobh
剡,oojh
火,oooo
焱,ooou
迷,opi
烷,opfq
粽,opfi
煊,opgg
熔,opwk
炮,oqnn
遴,oqap
粼,oqab
烯,oqdh
燃,oqdo
烁,oqiy
焕,oqmd
焰,oqvg
炊,oqwy
灼,oqyy
熘,oqyl
煌,orgg
粕,org
灯,osh
粞,osg
烽,otdh
糙,otfp
炸,othf
糗,othd
糌,othj
熄,othn
烙,otkg
燠,otmd
燔,otol
烀,otuh
敉,oty
料,oufh
烊,oudh
燧,ouep
烂,oufg
粒,oug
糕,ougo
焙,oukg
熵,oumk
焖,ouny
糍,ouxx
娄,ovf
煺,ovep
数,ovty
粉,owvn
炝,owbn
煅,owdc
烩,owfc
糇,ownd
烨,owxf
焓,owyk
糨,oxkj
米,oyty
炷,oygg
炕,oymn
炉,oynt
煸,oyna
煽,oynn
燮,oyoc
粮,oyve
糖,oyvk
糠,oyvi
粹,oywf
炫,oyxy
灬,oyyy
这,ypi
宽,pamq
宦,pahh
寞,pajd
字,pbf
害,pdhk
宏,pdcu
寡,pdev
宥,pdef
宕,pdf
宸,pdfe
割,pdhj
豁,pdhk
寄,pdsk
寮,pdui
宠,pdxb
家,peu
宜,pegf
农,pei
冢,peyu
守,pfu
宗,pfiu
寒,pfju
骞,pfjc
褰,pfje
塞,pfjf
蹇,pfjh
赛,pfjm
搴,pfjr
寨,pfjs
謇,pfjy
完,pfqb
寇,pfqc
冠,pfqf
定,pghu
室,pgcf
宇,pgfj
宣,pgjg
富,pgkl
寅,pgmw
写,pgng
宝,pgyu
寂,phic
宵,pief
审,pjhj
幂,pjdh
寓,pjmy
冥,pjuu
宴,pjvf
宫,pkkf
军,plj
郓,plbh
寰,plge
皲,plhc
宙,pmf
冗,pmb
官,pnhn
甯,pnej
寐,pnhi
寤,pnhk
逭,pnhp
密,pntm
蜜,pntj
宓,pntr
寥,pnwe
廴,pny
灾,pou
之,pppp
宛,pqbb
剜,pqbj
冤,pqky
鸩,pqqg
宾,prgw
牢,prhj
宁,psj
宋,psu
客,ptkf
宅,ptab
宪,ptfq
额,ptkm
实,pudu
褡,puak
衩,pucy
裰,pucc
褥,pudf
衫,puet
衬,pufy
褂,pufh
褚,pufj
襦,pufj
袜,pugs
裱,puge
补,puhy
被,puhc
衤,pui
裆,puiv
宰,puj
袒,pujg
褴,pujl
褐,pujn
裼,pujr
裸,pujs
裎,pukg
裢,pulp
袖,pumg
衲,pumw
袂,punw
裾,pund
褶,punr
褛,puov
袍,puqn
裨,purf
褫,purm
襟,pusi
襻,pusr
袄,putd
衽,putf
袼,putk
袢,puuf
褙,puue
裥,puuj
初,puvn
寝,puvc
裉,puve
裙,puvk
褪,puvp
裕,puwk
袱,puwd
裣,puwi
袷,puwk
衿,puwn
褓,puws
襁,puxj
裤,puyl
褊,puya
安,pvf
宄,pvb
案,pvsu
空,pwaf
窍,pwan
穿,pwat
窃,pwav
窿,pwbg
突,pwdu
宿,pwdj
罕,pwfj
窦,pwfd
察,pwfi
窥,pwfq
窒,pwgf
窀,pwgn
窕,pwiq
窠,pwjs
窜,pwkh
窝,pwkw
穷,pwlb
帘,pwmh
窟,pwnm
窭,pwov
穸,pwqu
窑,pwrm
窳,pwry
窗,pwtq
窄,pwtf
窖,pwtk
窆,pwtp
穴,pwu
窨,pwuj
邃,pwup
究,pwvb
窘,pwvk
容,pwwk
窬,pwwj
穹,pwxb
窈,pwxl
鹤,pwyg
它,pxb
社,pyfg
祺,pyaw
祁,pybh
祷,pydf
祓,pydc
禊,pydd
祜,pydg
祖,pyeg
祛,pyfc
禧,pyfk
福,pygl
祆,pygd
祉,pyhg
祯,pyhm
礻,pyi
祧,pyiq
神,pyjh
祝,pykq
祸,pykw
视,pymq
冖,pyn
祠,pynk
礼,pynn
祀,pynn
辶,pyny
祢,pyqi
祗,pyqy
祈,pyrh
祚,pytf
祥,pyud
禅,pyuf
禚,pyuo
禄,pyvi
宀,pyyn
禳,pyye
我,trnt
氏,qav
锘,qadk
钳,qafg
舛,qahh
铘,qahb
桀,qahs
错,qajg
镆,qajd
昏,qajf
钷,qakg
锚,qalg
钜,qang
钺,qant
铽,qany
铹,qapl
铙,qatq
镬,qawc
氐,qayi
邸,qayb
鸱,qayg
凶,qbk
镊,qbcc
铒,qbg
钌,qbh
眢,qbhf
锰,qblg
怨,qbnu
迎,qbpk
鸳,qbqg
锕,qbsk
色,qcb
铎,qcfh
勾,qci
钯,qcn
钗,qcyy
然,qdou
危,qdbb
郄,qdcb
钹,qdcy
肴,qdef
铕,qdeg
锛,qdfa
钴,qdg
锲,qdhd
希,qdmh
郗,qdmb
钸,qdmh
欷,qdmw
铖,qdnt
铸,qdtf
镣,qdui
镢,qduw
詹,qdwy
钛,qdyy
角,qej
锊,qefy
锾,qefc
钥,qeg
觫,qegi
锄,qegl
觥,qeiq
触,qejy
觖,qenw
觚,qery
钐,qet
觞,qetr
斛,qeuf
觯,qeuf
解,qevh
蟹,qevj
邂,qevp
针,qfh
钍,qfg
镇,qfhw
镭,qflg
锗,qftj
铐,qftn
铑,qftx
钱,qgt
鲽,qgas
鳓,qgal
印,qgbh
鲰,qgbc
钝,qgbn
鲐,qgck
鳋,qgcj
鱿,qgdn
鲅,qgdc
