以,a
贞,iykk
钟,iyo
贞,iyo
镯,iyo
钟,iyoi
贞,iyoj
赀,iyoj
贞,iyok
赀,iyok
铡,iyou
镯,iyow
卓,iyr
卓,iyrf
战,iys
战,iysk
铢,iyt
锺,iyt
锺,iytd
铢,iytk
钊,iyu
钊,iyuu
铮,iyw
铮,iywb
紫,iyx
锱,iyx
锱,iyxo
紫,iyxp
钻,iyy
龇,iyy
钻,iyyi
龇,iyyw
召,iz
召,izi
召,izii
就,j
碱,ja
碱,jaa
碱,jaad
厩,jab
厩,jabs
奇,jaf
奇,jafi
礁,jaj
硷,jaj
礁,jajm
硷,jajn
厥,jam
厥,jamw
碣,jar
碣,jarw
戛,jas
戛,jask
歼,jat
歼,jati
殛,jav
殛,javd
矶,jaw
矶,jaww
即,jb
君,jb
忌,jb
己,jbc
己,jbcc
疆,jbd
疆,jbdo
居,jbf
居,jbfi
局,jbi
君,jbi
强,jbi
君,jbii
局,jbii
强,jbio
屐,jbk
屐,jbkf
建,jbl
忌,jbl
忌,jblk
建,jbll
尽,jbn
尽,jbnn
届,jbo
届,jbod
暨,jbr
暨,jbrd
既,jbs
既,jbsc
犟,jbt
犟,jbti
剧,jbu
剧,jbuu
郡,jbv
即,jbv
郡,jbvv
即,jbvv
机,jc
榉,jc
柩,jc
橛,jca
橛,jcam
栉,jce
栉,jcev
槿,jcf
槿,jcfd
槿,jcfo
禁,jcg
禁,jcgk
校,jch
校,jchk
校,jchm
楫,jci
楫,jcif
检,jcj
检,jcjm
橘,jcl
橘,jclo
杰,jcm
杰,jcmm
榉,jcn
枷,jcn
榉,jcng
枷,jcni
柜,jcs
楷,jcs
柩,jcs
柜,jcsc
楷,jcsr
柩,jcsw
桔,jcu
槛,jcu
桔,jcui
槛,jcuo
极,jcw
枸,jcw
枸,jcwi
极,jcwk
机,jcww
椒,jcy
椒,jcyl
枷,jcz
枷,jczi
江,jd
浇,jd
津,jd
津,jdb
浸,jdb
津,jdbi
浸,jdbl
酒,jdf
江,jdf
酒,jdfd
江,jdfd
浅,jdg
浅,jdgk
济,jdh
浃,jdh
浃,jdhk
济,jdhr
涓,jdi
涓,jdiv
涧,jdj
涧,jdjr
泾,jdl
浚,jdl
泾,jdlf
浚,jdlm
浚,jdlw
湔,jdm
湔,jdmv
溅,jdo
沮,jdo
沮,jdod
溅,jdog
激,jdr
激,jdrt
渐,jds
浇,jds
浇,jdsa
渐,jdsq
湫,jdt
湫,jdtm
洁,jdu
洁,jdui
汲,jdw
汲,jdwk
节,je
蒋,je
菁,je
蕨,jea
荐,jea
蕨,jeam
荐,jeav
葭,jeb
荩,jeb
葭,jebb
荩,jebn
芰,jef
芰,jefl
藉,jeg
菁,jeg
藉,jegf
菁,jegv
警,jeh
蒋,jeh
茭,jeh
警,jehi
茭,jehk
荚,jehk
茭,jehm
荠,jehr
蒺,jeht
蒋,jehw
莒,jei
莒,jeii
芥,jej
蕉,jej
蕉,jejm
芥,jejr
茎,jel
茎,jelf
茄,jen
菅,jen
茄,jeni
菅,jeno
菌,jeo
茧,jeo
苋,jeo
苋,jeoc
苴,jeod
茧,jeok
菌,jeot
苋,jeow
系,jep
苣,jes
苣,jesc
敬,jet
敬,jetm
荆,jeu
荆,jeuu
节,jev
节,jevv
菊,jew
蓟,jew
艽,jew
芨,jewk
菊,jewm
蓟,jewu
艽,jeww
系,jex
系,jexp
茄,jez
茄,jezi
教,jf
棘,jf
髻,jf
嘏,jfb
嘏,jfbb
堇,jfd
鞯,jfe
鞯,jfea
酵,jff
棘,jff
兢,jff
兢,jffi
棘,jffk
酵,jffv
兢,jffw
截,jfj
醮,jfj
截,jfjh
醮,jfjm
柬,jfk
柬,jfkk
贾,jfo
觐,jfo
堇,jfo
觐,jfoc
堇,jfod
赍,jfoj
赍,jfok
觐,jfow
靳,jfq
靳,jfqi
聚,jfr
晋,jfr
聚,jfrk
晋,jfrr
戟,jfs
戬,jfs
戬,jfsk
戟,jfsk
救,jft
救,jftk
教,jftk
基,jfu
髻,jfu
髻,jfui
基,jfuu
期,jfv
鄄,jfv
鄄,jfvv
期,jfvv
鞠,jfw
鞫,jfw
鞫,jfwh
鞠,jfwm
醵,jfy
醵,jfya
进,jg
井,jg
玖,jg
瑾,jgf
瑾,jgfd
瑾,jgfo
珏,jgg
珏,jggk
击,jgi
井,jgi
井,jgii
珈,jgn
进,jgn
珈,jgni
进,jgnn
靓,jgo
靓,jgoc
靓,jgow
击,jgv
击,jgvv
静,jgw
玖,jgw
玑,jgw
静,jgwb
玖,jgwk
玑,jgww
珈,jgz
珈,jgzi
将,jh
净,jh
奖,jh
减,jha
奖,jha
颊,jha
减,jhad
颊,jhaj
奖,jhak
决,jhb
决,jhbk
桨,jhc
桨,jhcc
浆,jhd
浆,jhdd
酱,jhf
酱,jhfd
靖,jhg
靖,jhgv
瘠,jhh
霁,jhh
霁,jhhr
瘠,jhhv
京,jhi
竞,jhi
京,jhip
竞,jhiw
疥,jhj
疥,jhjr
交,jhk
夹,jhk
夹,jhkk
竣,jhl
痉,jhl
痉,jhlf
竣,jhlw
交,jhm
交,jhmm
迹,jhn
痂,jhn
痂,jhni
迹,jhnn
疽,jho
疽,jhod
京,jhp
竭,jhr
竭,jhrw
疾,jht
麇,jht
旌,jht
麇,jhtk
疾,jhtk
旌,jhtt
剂,jhu
剂,jhuu
郊,jhv
疖,jhv
郏,jhv
脊,jhvv
疖,jhvv
郏,jhvv
郊,jhvv
竟,jhw
净,jhw
疚,jhw
净,jhwb
鹫,jhwd
将,jhwf
疚,jhwk
麂,jhww
竟,jhww
齑,jhy
齑,jhyd
齑,jhyi
痂,jhz
痂,jhzi
叫,ji
踞,ji
噘,jia
蹶,jia
蹶,jiam
噘,jiam
唧,jib
踞,jib
踞,jibf
唧,jibv
噤,jic
噤,jicg
践,jig
践,jigk
跤,jih
蹴,jih
跻,jih
蹴,jiha
跤,jihk
跻,jihr
嚼,jim
嗟,jim
嚼,jimb
嗟,jimf
嚼,jimo
跏,jin
跏,jini
咀,jio
咀,jiod
旧,jir
踽,jir
踽,jirk
旧,jirr
距,jis
距,jisc
啾,jit
啾,jitm
咭,jiu
咭,jiui
叫,jiv
叫,jivv
叽,jiw
鹃,jiw
鹃,jiwd
叽,jiww
噱,jiy
跏,jiz
跏,jizi
今,jj
俊,jj
倔,jj
健,jjb
倔,jjb
假,jjb
假,jjbb
倨,jjbf
健,jjbl
倔,jjbv
集,jjc
今,jjc
集,jjcc
今,jjcc
僵,jjd
僵,jjdo
儆,jje
儆,jjet
借,jjf
伎,jjf
伎,jjfl
借,jjfr
佼,jjh
僦,jjh
僦,jjha
佼,jjhk
介,jji
介,jjii
价,jjj
俭,jjj
价,jjji
俭,jjjn
价,jjjr
仅,jjl
俊,jjl
今,jjlc
仅,jjll
俊,jjlm
俊,jjlw
焦,jjm
倦,jjm
焦,jjmm
倦,jjmx
隽,jjn
伽,jjn
伽,jjni
隽,jjnn
俱,jjo
俱,jjom
间,jjr
介,jjr
偈,jjr
介,jjrr
间,jjrr
偈,jjrw
僭,jjs
侥,jjs
僭,jjsr
件,jjt
件,jjti
佳,jju
剑,jju
佶,jju
佶,jjui
剑,jjuu
佳,jjuu
阄,jjw
鹪,jjw
阄,jjwc
鹪,jjwd
隽,jjz
伽,jjz
伽,jjzi
隽,jjzz
接,jk
捷,jk
掘,jk
撅,jka
撅,jkam
据,jkb
掘,jkb
抉,jkb
据,jkbf
抉,jkbk
掘,jkbv
技,jkf
技,jkfl
挤,jkh
挟,jkh
接,jkh
挟,jkhk
挤,jkhr
接,jkhs
捐,jki
捐,jkiv
捡,jkj
捡,jkjn
径,jkl
径,jklf
搅,jkn
搅,jkno
攫,jko
攫,jkoj
揭,jkr
揭,jkrw
拒,jks
捷,jks
拣,jks
拒,jksc
拣,jksk
捷,jksk
揪,jkt
揪,jktm
街,jku
拮,jku
街,jkug
拮,jkui
拘,jkw
掬,jkw
拘,jkwi
掬,jkwm
记,jl
谨,jl
诫,jl
颈,jla
颈,jlaj
诀,jlb
艰,jlb
裾,jlb
记,jlbc
裾,jlbf
艰,jlbk
诀,jlbk
襟,jlc
襟,jlcg
计,jlf
谨,jlf
谏,jlf
谨,jlfd
计,jlff
谏,jlfk
谨,jlfo
讲,jlg
讦,jlg
讦,jlgi
讲,jlgi
矜,jlj
衿,jlj
袷,jlj
衿,jljc
矜,jljc
裥,jljr
谲,jll
谲,jllo
劲,jln
迳,jln
迳,jlnn
劲,jlnn
谡,jlo
谡,jlom
谡,jlow
军,jls
诫,jls
讵,jls
诫,jlsa
讵,jlsc
军,jlsi
诘,jlu
诘,jlui
肩,jlv
肩,jlvv
鸡,jlw
讥,jlw
鸡,jlwd
讥,jlww
劲,jlz
劲,jlzz
精,jm
炬,jm
爵,jmb
烬,jmb
爵,jmbf
烬,jmbn
粳,jmf
粳,jmfk
精,jmg
精,jmgv
兼,jmk
兼,jmkk
翦,jml
翦,jmll
煎,jmm
煎,jmmm
剪,jmn
剪,jmnn
爵,jmo
眷,jmo
炯,jmo
爵,jmob
眷,jmod
炯,jmoi
蠲,jmow
羯,jmr
羯,jmrw
兼,jms
姜,jms
炬,jms
炬,jmsc
姜,jmss
卷,jmx
卷,jmxx
剪,jmz
剪,jmzz
家,jn
惧,jn
悸,jn
加,jn
寄,jna
家,jna
寄,jnaf
家,jnak
窘,jnb
窘,jnbi
架,jnc
架,jncc
举,jng
举,jngi
惊,jnh
謇,jnh
袈,jnh
謇,jnhi
袈,jnhk
惊,jnhp
袈,jnhw
加,jni
蹇,jni
加,jnii
蹇,jniy
窭,jnm
窭,jnms
迦,jnn
迦,jnnn
觉,jno
惧,jno
觉,jnoc
惧,jnom
觉,jnow
憬,jnr
憬,jnrh
窖,jnt
悸,jnt
窖,jnti
悸,jntv
究,jnw
究,jnww
驾,jnx
驾,jnxd
寂,jny
寂,jnyl
见,jo
睛,jo
畸,joa
畸,joaf
崛,job
崛,jobv
见,joc
见,jocc
且,jod
且,jodd
羁,jof
羁,jofx
贱,jog
睛,jog
贱,jogk
睛,jogv
蛟,joh
嵴,joh
蛟,johk
蛱,johk
蛟,johm
嵴,johv
甲,joi
巾,joi
巾,joii
甲,joii
界,joj
睑,joj
雎,joj
雎,jojh
瞿,jojh
矍,jojl
睑,jojn
蚧,jojr
骱,jojr
界,jojr
峻,jol
峻,jolm
峻,jolw
具,jom
圈,jom
具,jomm
圈,jomx
迥,jon
迥,jonn
岬,joo
觊,joo
觊,jooc
岬,jooi
觊,joow
睫,jos
睫,josk
峤,jot
峤,jotr
见,jow
虮,jow
岌,jow
岌,jowk
虮,jowl
尖,jp
尖,jpa
尖,jpak
近,jq
斤,jqi
斤,jqii
近,jqn
近,jqnn
舰,jqo
舰,jqoc
舰,jqow
景,jr
皎,jr
臼,jrd
臼,jrdd
景,jrh
皎,jrh
景,jrhi
皎,jrhk
皎,jrhm
景,jrhp
炅,jrm
炅,jrmm
舅,jro
舅,jron
舅,jroz
晶,jrr
晶,jrrr
敫,jrt
敫,jrtk
敫,jrtm
较,js
轿,js
辑,js
戒,jsa
戒,jsai
巨,jsc
巨,jscc
妓,jsf
姬,jsf
姬,jsfc
妓,jsfx
奸,jsg
婧,jsg
奸,jsgi
婧,jsgv
较,jsh
姣,jsh
嫉,jsh
姣,jshk
姣,jshm
嫉,jsht
较,jshy
娟,jsi
辑,jsi
车,jsi
辑,jsif
车,jsii
娟,jsiv
妗,jsj
妗,jsji
嫁,jsn
嫁,jsna
姐,jso
姐,jsod
匠,jsq
匠,jsqw
皆,jsr
皆,jsrd
姬,jss
婕,jss
婕,jssk
娇,jst
轿,jst
娇,jstl
轿,jstr
积,jt
筋,jt
笺,jt
稽,jta
犄,jta
嵇,jta
犄,jtaf
嵇,jtao
稽,jtaw
犍,jtb
犍,jtbl
榘,jtc
榘,jtcx
箕,jtf
箕,jtfm
籍,jtg
笺,jtg
笄,jtg
籍,jtgf
笄,jtgi
笺,jtgk
积,jti
积,jtir
简,jtj
简,jtjr
箭,jtm
箭,jtmv
稼,jtn
笳,jtn
稼,jtna
笳,jtni
稷,jto
笕,jto
笕,jtoc
稷,jtom
稷,jtow
笕,jtow
矩,jts
矩,jtsc
矫,jtt
矫,jttr
秸,jtu
筠,jtu
秸,jtui
筠,jtuw
季,jtv
筋,jtv
季,jtvd
筋,jtvn
筋,jtvz
笈,jtw
笈,jtwk
笳,jtz
笳,jtzi
紧,ju
颉,jua
颉,juaj
境,juh
境,juhw
吉,jui
吉,juii
嘉,jun
劫,jun
嘉,juni
劫,junn
监,juo
趄,juo
趄,juod
监,juod
坚,juu
坚,juuu
赳,juv
赳,juvv
均,juw
圾,juw
均,juwh
圾,juwk
紧,jux
紧,juxp
鉴,juy
鉴,juyy
嘉,juz
劫,juz
嘉,juzi
劫,juzz
降,jv
肼,jv
阱,jv
腱,jvb
腱,jvbl
亟,jvd
亟,jvdd
际,jvg
肼,jvg
阱,jvg
肼,jvgi
阱,jvgi
际,jvgk
际,jvgp
胶,jvh
胶,jvhk
阶,jvj
阶,jvjr
胫,jvl
胫,jvlf
胛,jvo
胛,jvoi
脚,jvu
脚,jvuv
肌,jvw
降,jvw
降,jvws
肌,jvww
几,jw
角,jw
饥,jw
獗,jwa
獗,jwam
急,jwb
鲫,jwb
鲫,jwbv
龟,jwc
桀,jwc
桀,jwcc
馑,jwf
馑,jwfo
祭,jwg
饯,jwg
饯,jwgk
祭,jwgp
饺,jwh
鲛,jwh
狡,jwh
鲛,jwhk
狡,jwhk
饺,jwhk
鲛,jwhm
狡,jwhm
饺,jwhm
鲸,jwhp
鲚,jwhr
獍,jwhw
句,jwi
咎,jwi
狷,jwi
咎,jwii
狷,jwiv
及,jwk
久,jwk
久,jwkk
及,jwkk
急,jwl
急,jwlk
灸,jwm
灸,jwmm
解,jwn
解,jwnt
狙,jwo
飓,jwo
龟,jwo
龟,jwoc
狙,jwod
飓,jwom
系,jwp
系,jwpk
九,jww
角,jww
饥,jww
鸠,jwwd
鸲,jwwd
角,jwwi
饥,jwww
九,jwww
几,jwww
解,jwz
解,jwzt
级,jx
骏,jx
绢,jx
缄,jxa
缄,jxad
纪,jxb
纪,jxbc
缰,jxd
缰,jxdo
缙,jxf
缙,jxfr
绩,jxg
绩,jxgo
绞,jxh
绞,jxhk
绞,jxhm
缉,jxi
绢,jxi
绢,jxiv
给,jxj
给,jxji
经,jxl
骏,jxl
经,jxlf
骏,jxlm
骏,jxlw
继,jxm
缣,jxm
继,jxmc
缣,jxmk
畿,jxo
畿,jxod
缴,jxr
缴,jxrt
骄,jxt
骄,jxtr
结,jxu
剿,jxu
结,jxui
剿,jxuu
纠,jxv
纠,jxvv
绝,jxw
驹,jxw
绛,jxw
驹,jxwi
级,jxwk
绛,jxws
绝,jxwv
骥,jxy
骥,jxyo
金,jy
锯,jy
钾,jy
镢,jya
镢,jyam
键,jyb
锯,jyb
锯,jybf
键,jybl
乩,jyc
乩,jycc
韭,jyd
韭,jydd
镜,jyh
铰,jyh
铰,jyhk
铰,jyhm
镜,jyhr
镌,jyj
锏,jyj
镌,jyjn
锏,jyjr
镌,jyjz
锩,jym
锩,jymx
遽,jyn
镓,jyn
镓,jyna
遽,jynn
冀,jyo
钾,jyo
龃,jyo
龃,jyod
冀,jyof
钾,jyoi
锦,jyr
锦,jyro
钜,jys
钜,jysc
钧,jyw
钧,jywh
金,jyy
金,jyyy
加,jz
架,jzc
架,jzcc
袈,jzh
袈,jzhk
袈,jzhw
加,jzi
加,jzii
迦,jzn
迦,jznn
驾,jzx
驾,jzxd
可,k
矿,ka
夸,kad
夸,kag
夸,kagc
矿,kah
矿,kahe
盔,kao
盔,kaod
磕,kau
奎,kau
磕,kauo
奎,kauu
砍,kaw
砍,kawk
垦,kb
恳,kbl
恳,kblk
垦,kbu
垦,kbuu
棵,kc
楷,kc
柯,kc
枯,kcf
柯,kcf
柯,kcfi
枯,kcfi
棵,kco
棵,kcok
框,kcs
楷,kcs
框,kcsg
楷,kcsr
槛,kcu
槛,kcuo
渴,kd
溃,kdo
溃,kdoo
渴,kdr
渴,kdrw
溘,kdu
溘,kduo
苦,ke
苛,kef
苦,kef
苛,kefi
苦,kefi
葵,kel
葵,kelg
蔻,ken
蔻,keng
蒯,keu
蒯,keuu
芤,kev
芤,kevc
恐,kf
髡,kfa
髡,kfac
克,kfi
可,kfi
可,kfii
克,kfiw
恐,kfl
恐,kflk
勘,kfn
勘,kfnn
聩,kfo
聩,kfoo
考,kfs
戡,kfs
戡,kfsk
考,kfss
酷,kft
酷,kfti
勘,kfz
勘,kfzz
开,kg
亏,kgc
亏,kgcc
珂,kgf
珂,kgfi
开,kgi
开,kgii
螯,kgo
螯,kgok
琨,kgr
琨,kgrs
刊,kgu
刊,kguu
骜,kgx
骜,kgxd
刻,kh
颏,kha
颏,khaj
康,khb
康,khbk
疴,khf
疴,khfi
廓,khh
廓,khhv
况,khi
况,khiw
库,khs
库,khsi
刻,khu
刻,khuu
邝,khv
邝,khvv
亢,khw
亢,khww
口,ki
跨,ki
咔,ki
哭,kia
跨,kia
喹,kia
跨,kiad
跨,kiag
哭,kiak
喹,kiau
呵,kif
呵,kifi
咳,kih
吭,kih
咳,kihk
吭,kihw
口,kii
口,kiii
哙,kij
哙,kijg
喀,kin
咖,kin
咖,kini
喀,kinw
喟,kio
喟,kiov
哐,kis
哐,kisg
嗑,kiu
嗑,kiuo
叩,kiv
叩,kivv
咯,kiw
啃,kiy
咔,kiy
咔,kiyj
咔,kiyk
啃,kiyv
咖,kiz
咖,kizi
阔,kj
龛,kja
龛,kjak
阔,kjd
阔,kjdt
会,kjg
会,kjgl
伉,kjh
闶,kjh
闶,kjhw
伉,kjhw
侃,kji
侃,kjir
侩,kjj
侩,kjjg
倥,kjn
倥,kjnf
阃,kjo
阃,kjoc
傀,kjr
傀,kjrk
傀,kjrl
看,kk
拷,kk
抗,kk
挎,kka
挎,kkad
挎,kkag
扛,kkf
拷,kkf
扛,kkfd
拷,kkfs
抗,kkh
扩,kkh
扩,kkhe
抗,kkhw
扣,kki
扣,kkii
揆,kkl
揆,kklg
控,kkn
控,kknf
捆,kko
看,kko
捆,kkoc
看,kkod
抠,kks
揩,kks
抠,kksm
揩,kksr
括,kkt
括,kkti
拗,kkx
拗,kkxn
拗,kkxz
课,kl
裉,klb
裉,klbk
诃,klf
诃,klfi
裤,klh
裤,klhs
课,klo
课,klok
诓,kls
诓,klsg
诳,klw
诳,klwg
烤,km
糠,km
烤,kmf
烤,kmfs
炕,kmh
糠,kmh
糠,kmhb
炕,kmhw
夔,kmr
夔,kmrm
快,kn
寇,kn
慨,kn
窟,knb
慨,knb
快,knbk
慨,knbs
窟,knbv
宽,kne
宽,kneo
空,knf
空,knfd
窥,kng
寇,kng
窥,kngo
寇,kngy
慷,knh
慷,knhb
恺,kno
愦,kno
窠,kno
恺,knob
窠,knok
愦,knoo
愧,knr
愧,knrk
愧,knrl
忾,knt
喾,knt
喾,knti
忾,knts
客,knw
恪,knw
恪,knwi
客,knwi
颗,ko
崆,ko
颗,koa
颗,koaj
瞰,kob
瞰,kobt
困,koc
困,kocc
岢,kof
骷,kof
骷,kofi
岢,kofi
睽,kol
睽,kolg
髋,kon
崆,kon
髋,kone
崆,konf
髁,koo
髁,kook
岿,kop
岿,kopb
眶,kos
眶,kosg
蝌,kot
蛞,kot
蛞,koti
蝌,kotn
瞌,kou
瞌,kouo
凯,kow
凯,koww
昆,kr
旷,krh
旷,krhe
暌,krl
暌,krlg
魁,krn
魁,krnf
魁,krni
昆,krs
昆,krsw
匡,ks
轲,ksf
轲,ksfi
匡,ksg
匡,ksgd
匮,kso
匮,ksoo
科,kt
筷,kt
氪,ktf
氪,ktfi
氪,ktfw
犒,kth
犒,ktho
筷,ktn
筷,ktnb
科,ktni
稞,kto
篑,kto
稞,ktok
篑,ktoo
筐,kts
筐,ktsg
靠,kty
靠,ktyd
款,ku
坎,ku
垮,kua
垮,kuad
垮,kuag
块,kub
堀,kub
块,kubk
堀,kubv
堪,kuf
坷,kuf
堪,kufc
坷,kufi
堪,kufm
坑,kuh
坑,kuhw
壳,kul
壳,kulw
逵,kun
逵,kunn
坤,kuo
坤,kuoi
壳,kuw
坎,kuw
款,kuw
坎,kuwj
款,kuwj
坎,kuwk
壳,kuww
坳,kux
坳,kuxn
坳,kuxz
孔,kv
胯,kva
胯,kvad
胯,kvag
孔,kvc
孔,kvcc
脍,kvj
脍,kvjg
隗,kvr
隗,kvrk
隗,kvrl
胩,kvy
胩,kvyj
胩,kvyk
狂,kw
馈,kw
鲲,kw
狂,kwg
狂,kwgd
狯,kwj
狯,kwjg
馗,kwm
馗,kwma
馈,kwo
馈,kwoo
鲲,kwr
鲲,kwrs
绔,kx
绔,kxa
绔,kxad
绔,kxag
缂,kxf
缂,kxfi
缂,kxfo
卡,ky
龈,kyb
龈,kybk
铐,kyf
铐,kyfs
钪,kyh
钪,kyhw
卡,kyj
卡,kyjj
卡,kyk
卡,kykk
铠,kyo
铠,kyob
锟,kyr
锟,kyrs
锴,kys
锴,kysr
铿,kyu
铿,kyuu
肯,kyv
肯,kyvv
了,l
零,l
列,la
砬,la
励,la
磊,laa
砺,laa
砻,laa
磊,laaa
砻,laai
砺,laas
碌,lab
碌,labd
碌,labj
聋,laf
聋,lafd
裂,lah
硫,lah
砬,lah
砬,lahd
裂,lahk
硫,lahr
殓,laj
殓,lajn
龙,lak
龙,lakk
烈,lam
磷,lam
烈,lamm
磷,lamw
历,lan
励,lan
励,lann
历,lann
厘,lao
厘,laod
厉,las
奁,las
厉,lase
奁,lasm
垄,lau
列,lau
列,lauu
垄,lauu
砾,law
硌,law
鹩,law
鹩,lawd
硌,lawi
砾,lawk
尥,lawk
龙,laww
历,laz
励,laz
励,lazz
历,lazz
录,lb
屡,lb
录,lbd
录,lbdd
录,lbj
录,lbjk
隶,lbk
履,lbk
隶,lbkk
履,lbkt
灵,lbm
屡,lbm
灵,lbmm
屡,lbms
逯,lbn
逯,lbnn
楼,lc
榴,lc
枥,lca
枥,lcan
枥,lcaz
棂,lcb
棂,lcbm
林,lcc
林,lccc
楝,lcf
楝,lcfk
麓,lch
檩,lch
麓,lchc
檩,lchg
椋,lchi
檩,lcho
椋,lchp
麓,lchs
麓,lchv
榈,lcj
榈,lcji
榔,lcl
榔,lclv
栏,lcm
楼,lcm
栏,lcmg
楼,lcms
楞,lco
椤,lco
楞,lcoh
椤,lcow
婪,lcs
婪,lcss
棱,lcu
榄,lcu
棱,lcum
榄,lcuo
棱,lcuw
李,lcv
李,lcvd
柳,lcw
榴,lcw
橹,lcw
栎,lcwk
榴,lcwo
橹,lcwr
柳,lcwv
栌,lcy
栌,lcyb
流,ld
丽,ld
澜,ld
沥,lda
洌,lda
潦,lda
泷,ldak
沥,ldan
潦,ldar
洌,ldau
沥,ldaz
漏,ldb
渌,ldb
渌,ldbd
漏,ldbf
梁,ldc
淋,ldc
淋,ldcc
梁,ldcc
涝,lde
涝,lden
涝,ldez
濑,ldf
溧,ldf
溧,ldfc
濑,ldfw
漓,ldh
浏,ldh
濂,ldh
滦,ldhc
漉,ldhc
涞,ldhk
濂,ldhm
漓,ldho
流,ldhr
漉,ldhs
浏,ldhu
漉,ldhv
潞,ldi
潞,ldiw
沦,ldj
澜,ldj
泠,ldj
澜,ldjf
泠,ldjl
沦,ldjw
浪,ldl
浪,ldlk
粱,ldm
粱,ldmk
逦,ldn
逦,ldnn
泪,ldo
丽,ldo
澧,ldo
澧,ldod
泪,ldod
丽,ldoo
漯,ldox
涟,lds
涟,ldsn
滥,ldu
滥,lduo
郦,ldv
郦,ldvv
溜,ldw
鹂,ldw
鹂,ldwd
洛,ldwi
溜,ldwo
滤,ldy
泸,ldy
鎏,ldy
泸,ldyb
滤,ldyl
鎏,ldyy
劳,le
蕾,le
蔺,le
茏,lea
茏,leak
落,led
落,ledw
蕾,leh
莱,leh
莱,lehk
蕾,leho
莅,lej
蔺,lej
莅,lejh
蔺,lejj
苓,lejl
芦,lel
蓼,lel
芦,lele
蓼,lelj
蒌,lem
蒌,lems
荔,len
劳,len
荔,lenn
劳,lenn
萝,leo
萝,leow
莲,les
莲,lesn
莉,let
藜,let
藜,letd
莉,letu
蓝,leu
菱,leu
菱,leum
蓝,leuo
菱,leuw
荔,lez
劳,lez
荔,lezz
劳,lezz
老,lf
赖,lf
吏,lf
栗,lfc
栗,lfcc
聆,lfj
聆,lfjl
两,lfk
吏,lfk
吏,lfkk
两,lfkk
醪,lfl
醪,lflj
联,lfm
联,lfmg
勒,lfn
勒,lfnn
醴,lfo
醴,lfod
剌,lfu
剌,lfuu
聊,lfw
赖,lfw
酪,lfw
酪,lfwi
赖,lfwo
聊,lfwv
老,lfww
鬣,lfx
鬣,lfxo
勒,lfz
勒,lfzz
理,lg
珑,lga
弄,lga
嫠,lga
弄,lgai
珑,lgak
嫠,lgas
琳,lgc
琳,lgcc
琉,lgh
璃,lgh
璃,lgho
琉,lghr
璐,lgi
璐,lgiw
玲,lgj
玲,lgjl
琅,lgl
琅,lglk
靓,lgo
理,lgo
靓,lgoc
理,lgod
靓,lgow
琏,lgs
琏,lgsn
珞,lgw
珞,lgwi
来,lh
零,lh
雷,lh
雳,lha
冽,lha
雳,lhan
冽,lhau
雳,lhaz
栾,lhc
霖,lhc
霖,lhcc
栾,lhcc
立,lhd
立,lhdd
痨,lhe
痨,lhen
痨,lhez
辣,lhf
癞,lhf
辣,lhfk
癞,lhfw
凉,lhh
凛,lhh
廪,lhh
凛,lhhg
廪,lhhg
凉,lhhp
露,lhi
吝,lhi
吝,lhii
露,lhiw
冷,lhj
零,lhj
斓,lhj
斓,lhjf
零,lhjl
冷,lhjl
挛,lhk
来,lhk
来,lhkk
挛,lhkk
恋,lhl
庐,lhl
廊,lhl
庐,lhle
廖,lhlj
恋,lhlk
廊,lhlv
六,lhm
瘘,lhm
廉,lhm
廉,lhmk
六,lhmm
瘘,lhms
麟,lhmw
离,lho
雷,lho
峦,lho
雷,lhod
峦,lhoi
赉,lhoj
赉,lhok
脔,lhok
离,lhoo
鹿,lhs
疠,lhs
疠,lhse
鹿,lhsw
旅,lht
痢,lht
旒,lht
旒,lhth
痢,lhtu
旅,lhtw
刘,lhu
凌,lhu
凌,lhum
刘,lhuu
凌,lhuw
疗,lhv
羸,lhv
孪,lhv
孪,lhvd
羸,lhvm
膂,lhvv
酃,lhvv
疗,lhvv
亮,lhw
瘤,lhw
鸾,lhw
鸾,lhwd
瘤,lhwo
亮,lhww
率,lhx
率,lhxf
銮,lhy
銮,lhyy
路,li
喱,li
咧,lia
喱,lia
呖,lia
咙,liak
呖,lian
喱,liao
嘹,liar
咧,liau
呖,liaz
啉,lic
啉,licc
唠,lie
躏,lie
躏,liej
唠,lien
唠,liez
喇,lif
嘞,lif
嘞,lifn
喇,lifu
嘞,lifz
吕,lii
吕,liii
呤,lij
呤,lijl
啦,lik
啦,likh
踉,lil
啷,lil
唳,lil
唳,lila
踉,lilk
啷,lilv
喽,lim
喽,lims
另,lin
另,linn
哩,lio
哩,liod
噜,liw
鹭,liw
鹭,liwd
咯,liwi
路,liwi
跞,liwk
噜,liwr
另,liz
另,lizz
领,lj
僚,lj
敛,lj
例,lja
僚,lja
领,lja
领,ljaj
僚,ljar
例,ljau
俪,ljd
俪,ljdo
俩,ljf
阑,ljf
佬,ljf
傈,ljfc
阑,ljfk
俩,ljfk
佬,ljfw
侣,lji
闾,lji
闾,ljii
侣,ljii
伦,ljj
伶,ljj
伶,ljjl
伦,ljjw
令,ljl
翎,ljl
阆,ljl
阆,ljlk
翎,ljll
令,ljll
偻,ljm
偻,ljms
赁,ljo
俚,ljo
儡,ljo
俚,ljod
赁,ljoj
倮,ljok
儡,ljoo
