a1	阿啊呵腌吖锕
nu:1	
nu:2	
nu:3	女钕
nu:4	恧衄
nu:5	
nuan1	
nuan2	
nuan3	暖
nuan4	
nuan5	
nue:1	
nue:2	
nue:3	
nue:4	虐疟
nue:5	
nuo1	
nuo2	娜挪傩
nuo3	
nuo4	诺懦糯喏搦锘
nuo5	
o1	噢喔
o2	哦
o3	
o4	哦
o5	
ou1	区欧殴鸥讴瓯沤
ou2	
ou3	偶呕藕耦
ou4	呕沤怄
ou5	
pa1	派扒趴啪葩
pa2	爬扒耙杷钯筢
pa3	
pa4	怕帕
pa5	琶
pai1	拍
pai2	排牌徘俳
pai3	排迫
pai4	派湃蒎哌
pai5	
pan1	番攀潘扳
pan2	般盘胖磐蹒爿蟠
pan3	
pan4	判盼叛畔拚襻袢泮
pan5	
pang1	乓膀滂
pang2	旁庞膀磅彷螃逄
pang3	耪
pang4	胖
pang5	
pao1	炮抛泡脬
pao2	跑炮袍刨咆狍匏庖
pao3	跑
pao4	炮泡疱
pao5	
pei1	呸胚醅
pei2	陪培赔裴锫
pei3	
pei4	配佩沛辔帔旆霈
pei5	
pen1	喷
pen2	盆湓
pen3	
pen4	喷
pen5	
peng1	烹抨砰澎怦嘭
peng2	朋鹏彭棚蓬膨篷澎硼堋蟛
peng3	捧
peng4	碰
peng5	
pi1	批坏披辟劈坯霹噼丕纰砒邳铍
pi2	皮疲啤脾琵毗郫鼙裨埤陴芘枇罴铍陂蚍蜱貔
pi3	否匹劈痞癖圮擗吡庀仳疋
pi4	屁辟僻譬媲淠甓睥
pi5	
pian1	片篇偏翩扁犏
pian2	便蹁缏胼骈
pian3	谝
pian4	片骗
pian5	
piao1	漂飘剽缥螵
piao2	朴瓢嫖
piao3	漂瞟缥殍莩
piao4	票漂骠嘌
piao5	
pie1	撇瞥氕
pie2	
pie3	撇丿苤
pie4	
pie5	
pin1	拼拚姘
pin2	贫频苹嫔颦
pin3	品榀
pin4	聘牝
pin5	
ping1	乒娉俜
ping2	平评瓶凭萍屏冯苹坪枰鲆
ping3	
ping4	
ping5	
po1	颇坡泊朴泼陂泺攴钋
po2	繁婆鄱皤
po3	叵钷笸
po4	破迫朴魄粕珀
po5	
pou1	剖
pou2	裒掊
pou3	掊
pou4	
pou5	
pu1	铺扑仆噗
pu2	葡蒲仆脯菩匍璞濮莆镤
pu3	普堡朴谱浦溥埔圃氆镨蹼
pu4	暴铺堡曝瀑
pu5	
qi1	期七妻欺缉戚凄漆栖沏蹊嘁萋槭柒欹桤
qi2	其奇棋齐旗骑歧琪祈脐祺祁崎琦淇岐荠俟耆芪颀圻骐畦亓
qi2	萁蕲畦蛴蜞綦鳍麒
qi3	起企启岂乞稽绮杞芑屺綮
qi4	气妻器汽齐弃泣契迄砌憩汔亟讫葺碛
qi5	
qia1	掐伽葜袷
qia2	
qia3	卡
qia4	恰洽髂
qia5	
qian1	千签牵迁谦铅骞悭芊愆阡仟岍扦佥搴褰钎
qian2	前钱潜乾虔钳掮黔荨钤犍箝鬈
qian3	浅遣谴缱肷
qian4	欠歉纤嵌倩堑茜芡慊椠
qian5	
qiang1	将枪抢腔呛锵跄羌戕戗镪蜣锖
qiang2	强墙蔷樯嫱
qiang3	强抢襁镪羟
qiang4	呛跄炝戗
qiang5	
qiao1	悄敲雀锹跷橇缲硗劁
qiao2	桥乔侨瞧翘蕉憔樵峤谯荞鞒
qiao3	悄巧雀愀
qiao4	翘俏窍壳峭撬鞘诮谯
qiao5	
qie1	切
qie2	茄伽
qie3	且
qie4	切窃怯趄妾砌惬锲挈郄箧慊
qie5	
qin1	亲钦侵衾
qin2	琴秦勤芹擒矜覃禽噙廑溱檎锓嗪芩螓
qin3	寝
qin4	沁揿吣
qin5	
qing1	青清轻倾卿氢蜻圊鲭
qing2	情晴擎氰檠黥
qing3	请顷謦苘
qing4	亲庆罄磬箐綮
qing5	
qiong1	
qiong2	穷琼穹茕邛蛩筇跫銎
qiong3	
qiong4	
qiong5	
qiu1	秋邱丘龟蚯鳅楸湫
qiu2	求球仇囚酋裘虬俅遒赇泅逑犰蝤巯鼽
qiu3	糗
qiu4	
qiu5	
qu1	区曲屈趋驱躯觑岖蛐祛蛆麴诎黢
qu2	渠瞿衢癯劬璩氍朐磲鸲蕖蠼蘧
qu3	取曲娶龋苣
qu4	去趣觑阒
qu5	戌
quan1	圈悛
quan2	全权泉拳诠颧蜷荃铨痊醛辁筌鬈
quan3	犬绻畎
quan4	劝券
quan5	
que1	缺阙炔
que2	瘸
que3	
que4	却确雀榷鹊阕阙悫
que5	
qun1	逡
qun2	群裙麇
qun3	
qun4	
qun5	
ran1	
ran2	然燃髯蚺
ran3	染冉苒
ran4	
ran5	
rang1	嚷
rang2	瓤禳穰
rang3	嚷攘壤禳
rang4	让
rang5	
rao1	
rao2	饶娆桡荛
rao3	扰绕娆
rao4	绕
rao5	
re1	
re2	
re3	若惹喏
re4	热
re5	
ren1	
ren2	人任仁壬
ren3	忍稔荏
ren4	任认韧刃纫饪仞葚妊轫衽
ren5	
reng1	扔
reng2	仍
reng3	
reng4	
reng5	
ri1	
ri2	
ri3	
ri4	日
ri5	
rong1	
rong2	容荣融蓉溶绒熔榕戎嵘茸狨肜蝾
rong3	冗
rong4	
rong5	
rou1	
rou2	柔揉蹂糅鞣
rou3	
rou4	肉
rou5	
ru1	
ru2	如儒茹嚅濡孺蠕薷铷襦颥
ru3	辱乳汝
ru4	入褥缛洳溽蓐
ru5	
ruan1	
ruan2	
ruan3	软阮朊
ruan4	
ruan5	
rui1	
rui2	蕤
rui3	蕊
rui4	瑞锐芮睿枘蚋
rui5	
run1	
run2	
run3	
run4	润闰
run5	
ruo1	
ruo2	
ruo3	
ruo4	若弱偌箬
ruo5	
sa1	撒仨挲
sa2	
sa3	洒撒
sa4	萨卅飒脎
sa5	
sai1	思塞腮鳃噻
sai2	
sai3	
sai4	赛塞
sai5	
san1	三叁毵
san2	
san3	散伞馓糁霰
san4	散
san5	
sang1	丧桑
sang2	
sang3	嗓搡磉颡
sang4	丧
sang5	
sao1	骚搔臊缲缫鳋
sao2	
sao3	扫嫂
sao4	扫梢臊埽瘙
sao5	
se1	
se2	
se3	
se4	色塞涩瑟啬铯穑
se5	
sen1	森
sen2	
sen3	
sen4	
sen5	
seng1	僧
seng2	
seng3	
seng4	
seng5	
sha1	杀沙刹纱杉莎煞砂挲鲨痧裟铩
sha2	
sha3	傻
sha4	沙啥厦煞霎嗄歃唼
sha5	
shai1	筛酾
shai2	
shai3	色
shai4	晒
shai5	
shan1	山衫删煽扇珊杉栅跚姗潸膻芟埏钐舢苫髟
shan2	
shan3	闪陕掺掸
shan4	单善扇禅擅膳讪汕赡缮嬗掸骟剡苫鄯钐疝蟮鳝
shan5	
shang1	商伤汤殇觞熵墒
shang2	
shang3	上赏晌垧
shang4	上尚绱
shang5	裳
shao1	烧稍梢捎鞘蛸筲艄
shao2	勺韶苕杓芍
shao3	少
shao4	少绍召稍哨邵捎潲劭
shao5	
she1	奢赊猞畲
she2	折舌蛇佘
she3	舍
she4	社设舍涉射摄赦慑麝滠歙厍
she5	
shei1	
shei2	谁
shei3	
shei4	
shei5	
shen1	身深参申伸绅呻莘娠诜砷糁
shen2	什神甚
shen3	审沈婶谂哂渖矧
shen4	甚慎渗肾蜃葚胂椹
shen5	
sheng1	生声胜升牲甥笙
sheng2	绳渑
sheng3	省眚
sheng4	胜圣盛乘剩嵊晟
sheng5	
shi1	师诗失施尸湿狮嘘虱蓍酾鲺
shi2	时十实什识食石拾蚀埘莳炻鲥
shi3	使始史驶屎矢豕
shi4	是事世市士式视似示室势试释适氏饰逝誓嗜侍峙仕恃柿轼
shi4	拭噬弑谥莳贳铈螫舐筮
shi5	殖匙
shou1	收
shou2	熟
shou3	手首守艏
shou4	受授售瘦寿兽狩绶
shou5	
shu1	书输殊舒叔疏抒淑梳枢蔬倏菽摅姝纾毹殳疋
shu2	熟孰赎塾秫
shu3	数属署鼠薯暑蜀黍曙
shu4	数术树述束竖恕墅漱俞戍庶澍沭丨腧
shu5	
shua1	刷唰
shua2	
shua3	耍
shua4	刷
shua5	
shuai1	衰摔
shuai2	
shuai3	甩
shuai4	率帅蟀
shuai5	
shuan1	栓拴闩
shuan2	
shuan3	
shuan4	涮
shuan5	
shuang1	双霜孀泷
shuang2	
shuang3	爽
shuang4	
shuang5	
shui1	
shui2	谁
shui3	水
shui4	说税睡
shui5	
shun1	
shun2	
shun3	吮
shun4	顺舜瞬
shun5	
shuo1	说
shuo2	
shuo3	
shuo4	数朔硕烁铄妁蒴槊搠
shuo5	
si1	思斯司私丝撕厮嘶鸶咝澌缌锶厶蛳
si2	
si3	死
si4	四似食寺肆伺饲嗣巳祀驷泗俟汜兕姒耜笥
si5	厕
song1	松忪淞崧嵩凇菘
song2	
song3	耸悚怂竦
song4	送宋诵颂讼
song5	
sou1	搜艘馊嗖溲飕锼螋
sou2	
sou3	擞叟薮嗾瞍
sou4	嗽擞
sou5	
su1	苏稣酥
su2	俗
su3	
su4	诉速素肃宿缩塑溯粟簌夙嗉谡僳愫涑蔌觫
su5	
suan1	酸狻
suan2	
suan3	
suan4	算蒜
suan5	
sui1	虽尿荽睢眭濉
sui2	随遂隋绥
sui3	髓
sui4	岁碎遂祟隧邃穗燧谇
sui5	
sun1	孙荪狲飧
sun2	
sun3	损笋榫隼
sun4	
sun5	
suo1	缩莎梭嗦唆挲娑睃桫嗍蓑羧
suo2	
suo3	所索锁琐唢
suo4	
suo5	
ta1	他她它踏塌遢溻铊趿
ta2	
ta3	塔鳎獭
ta4	踏拓榻嗒蹋沓挞闼漯
ta5	
tai1	台胎苔
tai2	台抬苔邰薹骀炱跆鲐
tai3	呔
tai4	太态泰汰酞肽钛
tai5	
tan1	摊贪滩瘫坍
tan2	谈弹坛谭潭覃痰澹檀昙锬镡郯
tan3	坦毯忐袒钽
tan4	探叹炭碳
tan5	
tang1	汤趟铴镗耥羰
tang2	堂唐糖膛塘棠搪溏螳瑭樘镗螗饧醣
tang3	躺倘淌傥帑
tang4	趟烫
tang5	
tao1	涛掏滔叨焘韬饕绦
tao2	逃陶桃淘萄啕洮鼗
tao3	讨
tao4	套
tao5	
te1	
te2	
te3	
te4	特忑忒慝铽
te5	
tei1	忒
tei2	
tei3	
tei4	
tei5	
teng1	
teng2	腾疼藤誊滕
teng3	
teng4	
teng5	
ti1	体踢梯剔锑
ti2	提题啼蹄醍绨缇鹈荑
ti3	体
ti4	替涕剃惕屉嚏悌倜逖绨裼
ti5	
tian1	天添
tian2	田填甜恬佃阗畋钿
tian3	腆舔忝殄
tian4	掭
tian5	
tiao1	挑佻祧
tiao2	条调迢鲦苕髫龆蜩笤
tiao3	挑窕
tiao4	跳眺粜
tiao5	
tie1	贴帖萜
tie2	
tie3	铁帖
tie4	帖餮
tie5	
ting1	听厅汀烃
ting2	停庭亭婷廷霆蜓葶莛
ting3	挺艇町铤梃
ting4	梃
ting5	
tong1	通恫嗵
tong2	同童彤铜桐瞳佟酮侗仝垌茼峒潼砼
tong3	统筒桶捅侗
tong4	同通痛恸
tong5	
tou1	偷
tou2	头投骰
tou3	钭
tou4	透
tou5	
tu1	突秃凸
tu2	图途徒屠涂荼菟酴
tu3	土吐钍
tu4	吐兔堍菟
tu5	
tuan1	湍
tuan2	团抟
tuan3	疃
tuan4	彖
tuan5	
tui1	推忒
tui2	颓
tui3	腿
tui4	退褪蜕煺
tui5	
tun1	吞暾
tun2	屯饨臀囤豚
tun3	氽
tun4	褪
tun5	
tuo1	托脱拖乇
tuo2	陀舵驼砣驮沱跎坨鸵橐佗铊酡柁鼍
tuo3	妥椭庹
tuo4	魄拓唾柝箨
tuo5	
wa1	挖哇凹娲蛙洼
wa2	娃
wa3	瓦佤
wa4	瓦袜腽
wa5	哇
wai1	歪
wai2	
wai3	崴
wai4	外
wai5	
wan1	湾弯蜿剜豌
wan2	完玩顽丸纨芄烷
wan3	晚碗挽婉惋宛莞娩畹皖绾琬脘菀
wan4	万腕蔓
wan5	
wang1	汪尢
wang2	王忘亡芒
wang3	往网枉惘罔辋魍
wang4	望王往忘旺妄
wang5	
wei1	委威微危巍萎偎薇逶煨崴葳隈
wei2	为维围唯违韦惟帷帏圩囗潍桅嵬闱沩涠
wei3	委伟唯尾玮伪炜纬萎娓苇猥痿韪洧隗诿艉鲔
wei4	为位未味卫谓遗慰魏蔚畏胃喂尉渭猬軎
wei5	
wen1	温瘟
wen2	文闻纹蚊雯璺阌
wen3	稳吻紊刎
wen4	问纹汶璺
wen5	
weng1	翁嗡
weng2	
weng3	蓊
weng4	瓮蕹
weng5	
wo1	窝涡蜗喔倭挝莴
wo2	哦
wo3	我
wo4	握卧哦渥沃斡幄肟硪龌
wo5	
wu1	於恶屋污乌巫呜诬兀钨邬圬
wu2	无亡吴吾捂毋梧唔芜浯蜈鼯
wu3	五武午舞伍侮捂妩忤鹉牾迕庑怃仵
wu4	物务误恶悟乌雾勿坞戊兀晤鹜痦寤骛芴杌焐阢婺鋈
wu5	
xi1	西息希吸惜稀悉析夕牺腊昔熙兮溪嘻锡晰樨熄膝栖郗犀曦
xi1	奚羲唏蹊淅皙汐嬉茜熹烯翕蟋歙浠僖穸蜥螅菥舾矽粞硒醯
xi1	欷鼷
xi2	席习袭媳檄隰觋
xi3	喜洗禧徙玺屣葸蓰铣
xi4	系细戏隙饩阋禊舄
xi5	
xia1	瞎虾呷
xia2	峡侠狭霞暇辖遐匣黠瑕狎硖瘕柙
xia3	
xia4	下夏吓厦唬罅
xia5	
xian1	先鲜仙掀纤暹莶锨氙祆籼酰跹
xian2	闲贤嫌咸弦娴衔涎舷鹇痫
xian3	显险鲜洗跣猃藓铣燹蚬筅冼
xian4	现见线限县献宪陷羡馅腺岘苋霰
xian5	
xiang1	相香乡箱厢湘镶襄骧葙芗缃
xiang2	降详祥翔庠
xiang3	想响享飨饷鲞
xiang4	相向象像项巷橡蟓
xiang5	
xiao1	消销潇肖萧宵削嚣逍硝霄哮枭骁箫枵哓蛸绡魈
xiao2	淆崤
xiao3	小晓筱
xiao4	笑校效肖孝啸
xiao5	
xie1	些歇楔蝎
xie2	叶协鞋携斜胁谐邪挟偕撷勰颉缬
xie3	写血
xie4	写解谢泄契械屑卸懈泻亵蟹邂榭瀣薤燮躞廨绁渫榍獬
xie5	
xin1	心新欣辛薪馨鑫芯昕忻歆锌
xin2	寻镡
xin3	
xin4	信芯衅囟
xin5	
xing1	兴星腥惺猩
xing2	行形型刑邢陉荥饧硎
xing3	省醒擤
xing4	性兴姓幸杏悻荇
xing5	
xiong1	兄胸凶匈汹芎
xiong2	雄熊
xiong3	
xiong4	
xiong5	
xiu1	修休羞咻馐庥鸺貅髹
xiu2	
xiu3	宿朽
xiu4	秀袖宿臭绣锈嗅岫溴
xiu5	
xu1	需须虚吁嘘墟戌胥砉圩盱顼
xu2	徐
xu3	许浒栩诩糈醑
xu4	续序绪蓄叙畜恤絮旭婿酗煦洫溆勖
xu5	蓿
xuan1	宣喧轩萱暄谖揎儇煊
xuan2	旋悬玄漩璇痃
xuan3	选癣
xuan4	旋券炫渲绚眩铉泫碹楦镟
xuan5	
xue1	削靴薛
xue2	学穴噱踅泶
xue3	雪鳕
xue4	血谑
xue5	
xun1	熏勋荤醺薰埙曛窨獯
xun2	寻询巡循旬驯荀峋洵恂郇浔鲟
xun3	
xun4	训迅讯逊熏殉巽徇汛蕈浚
xun5	
ya1	压雅呀押鸦哑鸭丫垭桠
ya2	牙涯崖芽衙睚伢岈琊蚜
ya3	雅瞧匹痖疋
ya4	亚压讶轧娅迓揠氩砑
ya5	呀
yan1	烟燕咽殷焉淹阉腌嫣胭湮阏鄢菸崦恹
yan2	言严研延沿颜炎阎盐岩铅蜒檐妍筵芫闫阽
yan3	眼演掩衍奄俨偃魇鼹兖郾琰罨厣剡鼽
yan4	研验沿厌燕宴咽雁焰艳谚彦焱晏唁砚堰赝餍滟酽谳
yan5	
yang1	央泱秧鸯殃鞅
yang2	洋阳杨扬羊疡佯烊徉炀蛘
yang3	养仰痒氧
yang4	样漾恙烊怏鞅
yang5	
yao1	要约邀腰夭妖吆幺
yao2	摇遥姚陶尧谣瑶窑肴侥铫珧轺爻徭繇鳐
yao3	咬杳窈舀崾
yao4	要药耀钥鹞曜疟
yao5	
ye1	耶噎椰掖
ye2	爷耶邪揶铘
ye3	也野冶
ye4	业夜叶页液咽哗曳拽烨掖腋谒邺靥晔
ye5	
yi1	一医衣依椅伊漪咿揖噫猗壹铱欹黟
yi2	移疑遗宜仪蛇姨夷怡颐彝咦贻迤痍胰沂饴圯荑诒眙嶷
yi3	以已衣尾椅矣乙蚁倚迤蛾旖苡钇舣酏
yi4	意义议易衣艺译异益亦亿忆谊抑翼役艾溢毅裔逸轶弈翌疫
yi4	绎佚奕熠诣弋驿懿呓屹薏噫镒缢邑臆刈羿仡峄怿悒肄佾殪
yi4	挹埸劓镱瘗癔翊蜴嗌翳
yi5	
yin1	因音烟阴姻殷茵荫喑湮氤堙洇铟
yin2	银吟寅淫垠鄞霪狺夤圻龈
yin3	引隐饮瘾殷尹蚓吲
yin4	印饮荫胤茚窨
yin5	
ying1	应英鹰婴樱膺莺罂鹦缨瑛璎撄嘤
ying2	营迎赢盈蝇莹荧萤萦瀛楹嬴茔滢潆荥蓥
ying3	影颖颍瘿郢
ying4	应硬映媵
ying5	
yo1	育哟唷
yo2	
yo3	
yo4	
yo5	哟
yong1	拥庸佣雍臃邕镛墉慵痈壅鳙饔
yong2	喁
yong3	永勇涌踊泳咏俑恿甬蛹
yong4	用佣
yong5	
you1	优幽忧悠攸呦
you2	由游油邮尤犹柚鱿莸尢铀猷疣蚰蝣蝤繇莜
you3	有友黝酉莠牖铕卣
you4	有又右幼诱佑柚囿鼬宥侑蚴釉
you5	
yu1	於吁迂淤纡瘀
yu2	于与余予鱼愚舆娱愉馀逾渔渝俞萸瑜隅揄榆虞禺谀腴竽妤
yu2	臾欤觎盂窬蝓嵛狳舁雩
yu3	与语雨予宇羽禹圄屿龉伛圉庾瘐窳俣
yu4	与语育遇狱雨欲预玉愈谷域誉吁蔚寓豫粥郁喻裕浴御驭尉
yu4	谕毓妪峪芋昱煜熨燠菀蓣饫阈鬻聿钰鹆鹬蜮
yu5	
yuan1	冤渊鸳眢鸢箢
yuan2	员元原园源圆缘援袁猿垣辕沅媛芫橼圜塬爰螈鼋
yuan3	远
yuan4	院愿怨苑媛掾垸瑗
yuan5	
yue1	约曰
yue2	
yue3	
yue4	说月乐越阅跃悦岳粤钥刖瀹栎樾龠钺
yue5	
yun1	晕氲
yun2	员云匀筠芸耘纭昀郧
yun3	允陨殒狁
yun4	员运均韵晕孕蕴酝愠熨郓韫恽
yun5	
za1	扎咂匝拶
za2	杂咱砸
za3	咋
za4	
za5	
zai1	灾哉栽甾
zai2	
zai3	载仔宰崽
zai4	在再载
zai5	
zan1	簪糌
zan2	咱
zan3	攒拶昝趱
zan4	赞暂瓒錾
zan5	咱
zang1	赃臧锗
zang2	
zang3	驵
zang4	藏脏葬奘
zang5	
zao1	遭糟
zao2	凿
zao3	早澡枣蚤藻缲
zao4	造灶躁噪皂燥唣
zao5	
ze1	
ze2	则责泽择咋啧迮帻赜笮箦舴
ze3	
ze4	侧仄昃
ze5	
zei1	
zei2	贼
zei3	
zei4	
zei5	
zen1	
zen2	
zen3	怎
zen4	谮
zen5	
zeng1	曾增憎缯罾
zeng2	
zeng3	
zeng4	赠综缯甑锃
zeng5	
zha1	查扎咋渣喳揸楂哳吒齄
zha2	炸扎札喋轧闸铡
zha3	眨砟
zha4	炸咋诈乍蜡栅榨柞吒咤痄蚱
zha5	
zhai1	摘侧斋
zhai2	择宅翟
zhai3	窄
zhai4	债祭寨砦瘵
zhai5	
zhan1	占沾粘瞻詹毡谵旃
zhan2	
zhan3	展斩辗盏崭搌
zhan4	战站占颤绽湛蘸栈
zhan5	
zhang1	张章彰璋蟑樟漳嫜鄣獐
zhang2	
zhang3	长掌涨仉
zhang4	丈涨帐障账胀仗杖瘴嶂幛
zhang5	
zhao1	着招朝嘲昭钊啁
zhao2	着
zhao3	找爪沼
zhao4	照赵召罩兆肇诏棹笊
zhao5	
zhe1	折遮蜇
zhe2	折哲辙辄谪蛰摺磔蜇
zhe3	者褶锗赭
zhe4	这浙蔗鹧柘
zhe5	着
zhei1	
zhei2	
zhei3	
zhei4	这
zhei5	
zhen1	真针珍斟贞侦甄臻箴砧桢溱蓁椹榛胗祯浈
zhen2	
zhen3	诊枕疹缜畛轸稹
zhen4	阵镇震圳振赈朕鸩
zhen5	
zheng1	正争征丁挣症睁徵蒸怔筝铮峥狰钲鲭
zheng2	
zheng3	整拯
zheng4	政正证挣郑症怔铮诤帧
zheng5	
zhi1	之只知指支织氏枝汁掷芝吱肢脂蜘栀卮胝祗
zhi2	直指职值执植殖侄踯摭絷跖埴
zhi3	只指纸止址旨徵趾咫芷枳祉轵黹酯
zhi4	知至制识治志致质智置秩滞帜稚挚掷峙窒炙痔栉桎帙轾贽
zhi4	痣豸陟忮彘膣雉鸷骘蛭踬郅觯
zhi5	
zhong1	中终钟忠衷锺盅忪螽舯
zhong2	
zhong3	种肿踵冢
zhong4	中种重众仲
zhong5	
zhou1	周州洲粥舟诌啁
zhou2	轴妯碡
zhou3	肘帚
zhou4	皱骤轴宙咒昼胄纣绉荮籀繇酎
zhou5	
zhu1	诸朱珠猪株蛛洙诛铢茱邾潴槠橥侏
zhu2	术逐筑竹烛躅竺舳瘃
zhu3	主属煮嘱瞩拄褚渚麈
zhu4	住注助著驻祝筑柱铸伫贮箸炷蛀杼翥苎疰
zhu5	
zhua1	抓挝
zhua2	
zhua3	爪
zhua4	
zhua5	
zhuai1	拽
zhuai2	
zhuai3	转
zhuai4	曳拽嘬
zhuai5	
zhuan1	专砖颛
zhuan2	
zhuan3	转
zhuan4	传转赚撰沌篆啭馔
zhuan5	
zhuang1	装庄妆桩
zhuang2	
zhuang3	奘
zhuang4	状壮撞幢僮戆
zhuang5	
zhui1	追锥隹椎骓
zhui2	
zhui3	
zhui4	坠缀赘惴缒
zhui5	
zhun1	屯谆肫窀
zhun2	
zhun3	准
zhun4	
zhun5	
zhuo1	桌捉卓拙涿焯倬
zhuo2	着著琢缴灼酌浊濯茁啄斫镯诼禚擢浞
zhuo3	
zhuo4	
zhuo5	
zi1	资咨滋仔姿吱兹孜谘呲龇锱辎淄髭赀孳粢趑觜訾缁鲻嵫
zi2	
zi3	子紫仔梓姊籽滓秭笫耔茈訾
zi4	自字渍恣眦
zi5	
zong1	宗踪综棕鬃枞腙
zong2	
zong3	总偬
zong4	纵粽
zong5	
zou1	邹诹陬鄹驺鲰
zou2	
zou3	走
zou4	奏揍
zou5	
zu1	租菹
zu2	足族卒镞
zu3	组祖阻诅俎
zu4	
zu5	
zuan1	钻躜
zuan2	
zuan3	纂缵
zuan4	赚钻攥
zuan5	
zui1	堆
zui2	
zui3	嘴咀觜
zui4	最罪醉蕞
zui5	
zun1	尊遵樽鳟
zun2	
zun3	撙
zun4	
zun5	
zuo1	作嘬
zuo2	作昨琢笮
zuo3	左佐撮
zuo4	作做坐座凿柞怍胙阼唑祚酢
zuo5	
